"Status","Name","Duration in ms","Description"
"passed","test_case.Register_case.TestRegister#test_No_Pwd","200","不输入密码"
"passed","test_case.Register_case.TestRegister#test_No_Num","175","不填写手机号"
"passed","test_case.test_login.TestLogin#test_login","71",""
"passed","test_case.Register_case.TestRegister#test_Wrong_Num","180","手机号填写10位"
"passed","test_case.test_login.TestLogin#test_login","69",""
"passed","test_case.Login_case.TestLogin#test_no_num","181","不输入账号进行登录"
"passed","test_case.Register_case.TestRegister#test_Pwd_No_Capitalization","202","密码没有大写"
"passed","test_case.Login_case.TestLogin#test_nonexistent_num","193","输入不存在的账号"
"passed","test_case.Login_case.TestLogin#test_login","190","正常登录账号"
"passed","test_case.Register_case.TestRegister#test_CodeError","170","验证码输入错误"
"passed","test_case.Register_case.TestRegister#test_Illegal_Character","171","手机号有非法字符"
"passed","test_case.Register_case.TestRegister#test_Pwd_Error","224","密码输入7位"
"passed","test_case.Login_case.TestLogin#test_no_num_pwd","181","不填账号和密码进行登录"
"passed","test_case.Login_case.TestLogin#test_code_login","61","手机号和短信验证码填写正确，正常登录"
"failed","test_case.Register_case.TestRegister#test_Registered_Num","172","已经注册过的手机号"
"passed","test_case.Login_case.TestLogin#test_wrong_pwd","2092","密码输入6次错误"
"passed","test_case.Login_case.TestLogin#test_no_pwd","164","不填写密码进行登录"
"failed","test_case.Login_case.TestLogin#test_wrong_num","252","输入10位手机号"
"failed","test_case.Login_case.TestLogin#test_Num_Illegal_Character","214","账号有特殊字符"
"passed","test_case.test_login.TestLogin#test_login","51",""
"passed","test_case.Register_case.TestRegister#test_Register","272","正常注册账号"
"passed","test_case.test_login.TestLogin#test_login","54",""
"passed","test_case.Register_case.TestRegister#test_No_Code","203","不输入验证码"
